section,item,parameter,value,unit,notes
orbit,,altitude_km,400,km,station target
orbit,,inclination_deg,51.6,deg,
orbit,,eccentricity,0.001,,
orbit,,raan_deg,120,deg,
orbit,,arg_perigee_deg,0,deg,
orbit,,true_anomaly_deg,0,deg,
rendezvous,,chaser_alt_km,380,km,
rendezvous,,braking_margin_m_s,15,m/s,CW terminal
entry,,altitude_m,122000,m,Entry Interface
entry,,velocity_m_s,0,m/s,0 = auto from deorbit burn
entry,,flight_path_angle_deg,-1.5,deg,
entry,,heading_deg,90,deg,
entry,,ballistic_coefficient_kg_m2,200,kg/m2,beta = m/(Cd*A)
entry,,deorbit_dv_m_s,100,m/s,for auto V_EI
aero,,cd,0.8,,
aero,,cl,0.3,,
aero,,reference_area_m2,1.5458229431645214,m2,updated by MRV geometry
aero,,nose_radius_m,0.128,m,drives heating
geometry,,length_m,2.0,m,MRV OML generated from configs/mrv3.yaml
geometry,,width_m,0.7729114715822607,m,MRV generated max y span
geometry,,s_ref_factor,1.0,frac,S_ref is generated OML reference area
propulsion,,isp_s,325,s,deorbit motor
propulsion,,deorbit_dv_m_s,100,m/s,
propulsion,,thrust_N,5000,N,
propulsion,,rho_propellant_kg_m3,1100,kg/m3,
propulsion,,ullage_frac,0.05,,
propulsion,,tank_mass_kg_m3,50,kg/m3 shell heuristic,
propulsion,,tank_pressure_bar,25,bar,
tps,,rho_kg_m3,270,kg/m3,PICA-like
tps,,conductivity_W_mK,0.15,W/mK,
tps,,cp_J_kgK,1200,J/kgK,
tps,,bondline_temp_C,180,C,
tps,,exposure_time_s,300,s,
tps,,shield_area_m2,2.834426156717519,m2,MRV generated wetted area
payload,Science module,mass_kg,300,kg,
payload,Science module,x_m,5.0,m,from nose
payload,Comm relay,mass_kg,100,kg,
payload,Comm relay,x_m,4.5,m,
payload,Avionics bay,mass_kg,100,kg,
payload,Avionics bay,x_m,3.8,m,
stability,,cg_x_c,0.62,,
stability,,cp_x_c,0.58,,
stability,,alpha_trim_deg,8,deg,
trade,,beta_min,100,kg/m2,Pareto sweep
trade,,beta_max,400,kg/m2,
trade,,beta_steps,7,,
trade,,s_ref_m2,10,m2,mass from beta in trades
trade,capsule,cd,1.5,,
trade,capsule,cl,0.1,,
trade,lifting_body,cd,0.8,,
trade,lifting_body,cl,0.4,,
docking,,contact_accel_m_s2,0.05,m/s2,
docking,Waypoint 4,range_m,300,m,
docking,Waypoint 4,closing_vel_m_s,0.10,m/s,
docking,Waypoint 4,mode,V-bar,,
docking,Waypoint 3,range_m,30,m,
docking,Waypoint 3,closing_vel_m_s,0.05,m/s,
docking,Waypoint 3,mode,V-bar,,
docking,Waypoint 2,range_m,3,m,
docking,Waypoint 2,closing_vel_m_s,0.03,m/s,
docking,Waypoint 2,mode,R-bar,,
docking,Capture,range_m,0.1,m,
docking,Capture,closing_vel_m_s,0.01,m/s,
docking,Capture,mode,R-bar,,
rendezvous,,rel_x_m,500,m,CW initial state
rendezvous,,rel_vy_m_s,-0.5,m/s,
rendezvous,,cw_dt_s,3600,s,
aero_db,,mach_list,0.3;0.8;1.2;3;8;15,,
aero_db,,alpha_min,-10,deg,
aero_db,,alpha_max,20,deg,
aero_db,,alpha_steps,7,,
aero_db,,cd0,0.15,,
aero_db,,cd_alpha_coef,0.02,,
aero_db,,cl_alpha_coef,0.08,,
aero_db,,cm_alpha_coef,-0.02,,
hypersonic,,cp_max,1.8,,
atmosphere,,h_min_m,0,m,
atmosphere,,h_max_m,120000,m,
atmosphere,,n_points,200,,
entry,,rho_ei_kg_m3,3.9e-7,kg/m3,Allen-Eggers check
control,,q_dyn_Pa,5000,Pa,
control,,cm_required,0.05,,
control,,cl_required,0.03,,
control,,cn_required,0.02,,
control,,yaw_rcs_assist_coeff,0.016,,conceptual yaw assist coefficient until 6DOF allocation
control,,moment_arm_m,2.0,m,
terminal,,v_terminal_m_s,55,m/s,
terminal,,glide_slope_deg,4,deg,
terminal,,drogue_alt_km,10,km,
terminal,,main_chute_alt_km,3,km,
terminal,,glide_alt_km,0.5,km,
terminal,,drogue_vel_m_s,450,m/s,
terminal,,main_chute_vel_m_s,120,m/s,
rcs,,thrust_N,400,N,
rcs,,arm_m,1.5,m,
rcs,,n_thrusters,12,,
mass_props,,height_m,0.488624,m,inertia estimate from MRV generated height
gnc,,gyro_x_rad_s,0.01,rad/s,demo quaternion
gnc,,gyro_y_rad_s,0.02,rad/s,
gnc,,gyro_z_rad_s,-0.005,rad/s,
gnc,,dt_s,1.0,s,
gnc,,torque_required_Nm,500,Nm,
loads,,launch_g,6,g,
loads,,acoustic_OASPL,140,dB,
loads,,landing_g,8,g,
structure,,sigma_allow_Pa,300000000,Pa,
structure,,load_g,6,g,
structure,,m_structure_kg,1200,kg,
thermal,,solar_flux_W_m2,1361,W/m2,
thermal,,radiator_area_m2,4,m2,
thermal,,emissivity,0.85,,
thermal,,radiator_temp_K,300,K,
thermal,,cold_temp_K,200,K,
thermal,,avionics_dissipation_W,500,W,
power,,array_power_W,2000,W,
power,,battery_margin_frac,1.2,,
mdao,,iterations,5,,
mdao,,tps_base_kg,200,kg,
mdao,,tps_q_factor,0.8,kg per W/cm2,
nav,IMU gyro,error,0.01 °/s,,
nav,IMU gyro,phase,all,,
nav,IMU accel,error,100 μg,,
nav,IMU accel,phase,all,,
nav,Star tracker,error,10 arcsec,,
nav,Star tracker,phase,on-orbit,,
nav,GNSS,error,5 m,,
nav,GNSS,phase,ascent/landing,,
mrv,,config_path,configs/mrv3.yaml,,Astreia MRV baseline config
mrv,,geometry_family,lifting_body,,MRV operational branch
mrv,,output_dir,outputs/mrv3_notebook,,OpenSCAD/mesh outputs from notebooks
mrv,,recovery_mode,parafoil,,terminal authorized-zone recovery
mrv,,landing_accuracy_mode,terminal_recovery_authorized_zone,,not arbitrary precision impact targeting
mrv,,open_scad_file,geometry.scad,,OpenSCAD output from generated mesh
mrv,,sweep_samples,25,,notebook trade sample count
mrv_payload,,name,compact_dense_payload,,
mrv_payload,,mass_kg,300.0,kg,
mrv_payload,,length_m,1.3,m,
mrv_payload,,width_m,0.28,m,
mrv_payload,,height_m,0.28,m,
